location,floor,floor_count,rooms_count,square_meter_price,price,year_of_construction,ipoteka_rate,area,discount,distance,monthly_payment
"Россия, Московская область, Ленинский городской округ, д. Сапроново, Купелинка м-н, квартал Северный, 1",2,17,2,148148,10000000,none,24.9,67.5,0.3,9.38,166667
"Россия, Московская область, Видное, Жуковский проезд, 5",10,12,3,147744,9500000,none,24.9,64.3,0.3,8.58,158334
"Россия, Московская область, Пушкинский городской округ, пос. Зверосовхоза, улица Соболиная, 4",1,1,2,88050,4200000,none,24.9,47.7,0.3,none,70000
"Россия, Московская область, Подольск городской округ, пос. Быково, Московская улица, 9",1,7,3,146710,11150000,none,24.9,76.0,0.3,4.37,185834
"Россия, Московская область, Химки, Новые Химки м-н, Юбилейный проспект, 7",9,17,4,202863,25500000,none,24.9,125.7,0.6,2.6,425003
"Россия, Московская область, Ногинск, Центральная улица, 14",1,2,2,137931,5600000,none,24.9,40.6,0.3,none,93334
"Россия, Московская область, Дмитров, ДЗФС м-н, 8Б",2,5,2,117169,5050000,none,24.9,43.1,0.3,none,84167
"Россия, Московская область, Мытищи, 9-й м-н, улица Лётная, 18 к3",5,5,2,164084,6990000,none,24.9,42.6,0.3,5.88,116500
"Россия, Московская область, Пушкино, Дзержинец м-н, 15",8,9,3,110625,6305650,none,21.9,57.0,0.3,none,none
"Россия, Московская область, Солнечногорск городской округ, пос. Смирновка, 31",3,7,2,127768,7500000,none,24.9,58.7,0.3,none,125000
"Россия, Московская область, Мытищи, 10-й м-н, Новомытищинский проспект, 64 к1",4,17,3,196850,17500000,2024,24.9,88.9,0.6,5.83,291668
"Россия, Московская область, Химки, Клязьма-Старбеево м-н, Загородная улица, 2",7,7,4,275453,34900000,none,24.9,126.7,none,9.59,581670
"Россия, Московская область, Котельники, Парковый, Кузьминская улица, 11",4,17,1,186000,9300000,none,24.9,50.0,0.3,1.14,155001
"Россия, Московская область, Реутов, 6-й м-н, Садовый проезд, 3",7,9,3,177966,10500000,none,24.9,59.0,0.3,2.38,175001
"Россия, Московская область, Химки городской округ, д. Брёхово, Пятница, микрорайон Школьный, к8",15,17,1,144562,5450000,none,24.9,37.7,0.3,6.87,90834
"Россия, Московская область, Одинцово, 1-й м-н, Можайское шоссе, 35",3,5,2,159459,6490000,none,24.9,40.7,0.3,1.68,108167
"Россия, Московская область, Чехов, Венюково м-н, улица Гагарина, 108",4,9,2,109126,5500000,none,24.9,50.4,0.3,none,91667
"Россия, Московская область, Реутов, 4-й м-н, Парковая улица, 8 к1",4,25,2,226962,13300000,none,24.9,58.6,0.6,1.62,221668
"Россия, Московская область, Сергиев Посад, проспект Красной Армии, 218",7,17,1,148479,8300000,none,24.9,55.9,0.3,none,138334
"Россия, Московская область, Подольск, Залинейный м-н, улица Машиностроителей, 30",4,5,2,125609,5150000,none,24.9,41.0,0.3,3.4,85833
"Россия, Московская область, Наро-Фоминский городской округ, рп. Селятино, улица Спортивная, 31",3,5,3,177065,10500000,none,24.9,59.3,0.3,8.01,175001
"Россия, Московская область, Воскресенск, Лопатинский м-н, Центральная улица, 20",4,5,2,71691,3900000,none,24.9,54.4,0.3,none,65000
"Россия, Московская область, Одинцовский городской округ, рп. Новоивановское, бульвар Эйнштейна, 3",12,24,1,247000,9880000,2021,24.9,40.0,none,2.01,164667
"Россия, Московская область, Мытищи, 37-й м-н, Медицинская улица, 2Б",14,25,1,206896,7200000,2025,24.9,34.8,0.3,10.17,120000
"Россия, Московская область, Рошаль, улица Фридриха Энгельса, 3",4,4,2,55735,3790000,none,24.9,68.0,0.3,none,63167
"Россия, Московская область, Ногинск, улица Самодеятельная, 10",8,14,1,126829,5200000,none,24.9,41.0,0.3,none,86667
"Россия, Московская область, Подольск, 4-й м-н, Пахринский проезд, 8",5,9,3,113392,6350000,none,24.9,56.0,none,4.81,105834
"Россия, Московская область, Балашиха, Балашиха-2 м-н, Калинина улица, 17/10",11,17,3,137391,15800000,none,24.9,115.0,0.6,8.64,263335
"Россия, Московская область, городской округ Солнечногорск, деревня Голубое, Зелёный проезд, 2",5,17,2,141560,7800000,2020,18.2,55.1,none,none,99369
"Россия, Московская область, Наро-Фоминский городской округ, Апрелевка, Комсомольская улица, 8",3,5,1,223333,6700000,none,24.9,30.0,0.3,none,111667
"Россия, Московская область, Одинцово, 5а м-н, Можайское шоссе, 169",18,19,1,230916,12100000,none,24.9,52.4,0.6,1.09,201668
"Россия, Московская область, Химки, Планерная м-н, 21",9,16,2,167487,10200000,none,24.9,60.9,0.3,1.03,170001
"Россия, Московская область, Красногорск городской округ, пос. Ильинское-Усово, Заповедная улица, 1",9,9,2,211538,9900000,none,24.9,46.8,0.3,7.17,165001
"Россия, Московская область, Котельники, Сосновая улица, 2 к4",3,24,3,205797,14200000,none,24.9,69.0,0.6,0.42,236668
"Россия, Московская область, Балашиха, Балашиха-3 м-н, проспект Ленина, 76",1,17,2,164012,10300000,none,24.9,62.8,0.3,7.13,171667
"Россия, Московская область, Долгопрудный, Гранитный м-н, Парковая улица, 52 к1",20,23,1,263157,7500000,2021,24.9,28.5,0.3,2.44,125000
"Россия, Московская область, Красногорск, Павшино м-н, улица Вокзальная, 16",5,5,1,79646,1800000,none,24.9,22.6,0.3,0.55,30000
"Россия, Московская область, Пушкино, Новое Пушкино, улица Просвещения, 10 к1",12,14,1,175438,6000000,none,24.9,34.2,0.3,none,100000
"Россия, Московская область, Богородский городской округ, Старая Купавна, территория Микрорайон, 6",5,5,2,104444,4700000,none,24.9,45.0,none,none,78333
"Россия, Московская область, Воскресенск, Лопатинский м-н, Комсомольская улица, 8",4,4,1,100000,3200000,none,24.9,32.0,0.3,none,53333
"Россия, Московская область, Видное, Видный город, улица имени народной артистки СССР Галины Вишневской, 6 к2",5,8,4,113675,13300000,2022,24.9,117.0,0.6,5.53,221668
"Россия, Московская область, Серпухов, Борисовское шоссе, 21",3,5,1,149022,4800000,none,24.9,32.21,0.3,none,80000
"Россия, Московская область, Сергиев Посад, Ярославское шоссе, 14",1,2,1,118421,3600000,none,24.9,30.4,0.3,none,60000
"Россия, Московская область, Солнечногорск, улица Баранова, 44",4,5,3,124750,6250000,none,24.9,50.1,0.3,none,104167
"Россия, Московская область, Красногорск, Павшино м-н, Молодёжная улица, 2",8,25,0,218181,7200000,none,24.9,33.0,0.3,1.14,120000
"Россия, Московская область, Ленинский городской округ, рп. Дрожжино, Южная улица, 9 к3",9,25,2,183333,9350000,none,24.9,51.0,0.3,2.77,155834
"Россия, Московская область, Наро-Фоминск, улица Шибанкова, 1",2,4,2,91482,5799990,none,24.9,63.4,0.3,none,96667
"Россия, Московская область, Химки, Клязьма-Старбеево м-н, Озёрная улица, 8",5,5,2,321027,20000000,none,24.9,62.3,0.6,4.22,333335
"Россия, Московская область, Ленинский городской округ, д. Суханово, Суханово парк, Парковая улица, 1 к1",4,5,1,207692,8100000,2021,24.9,39.0,0.3,5.75,135000
"Россия, Московская область, Богородский городской округ, рп. Обухово, улица Ленина, 26",2,2,2,87272,4800000,none,24.9,55.0,none,none,80000
"Россия, Московская область, Клин, улица Чайковского, 62 к1",1,9,2,101694,4800000,none,24.9,47.2,0.3,none,80000
"Россия, Московская область, Ленинский городской округ, рп. Дрожжино, Южная улица, 23 к2",3,20,2,144067,8500000,none,24.9,59.0,0.3,3.35,141667
"Россия, Московская область, Королёв, Валентиновка м-н, улица Горького, 79 к12",2,4,2,200000,11000000,2016,24.9,55.0,0.3,16.57,183334
"Россия, Московская область, Балашиха, им. Гагарина м-н, Балашихинское шоссе, 20",4,19,3,153631,11000000,none,24.9,71.6,0.3,8.63,183334
"Россия, Московская область, Люберцы, улица Попова, 6",1,5,2,152272,6700000,none,24.9,44.0,0.3,2.17,111667
"Россия, Московская область, Ленинский городской округ, д. Суханово, Суханово парк, 3",3,5,1,226000,11300000,none,24.9,50.0,0.6,5.86,188334
"Россия, Московская область, Химки, Старые Химки м-н, улица Германа Титова, 10",7,17,1,194736,7400000,none,24.9,38.0,0.3,3.29,123334
"Россия, Московская область, Мытищи, 29-й м-н, Силикатная улица, 49 к2",3,10,2,156507,9500000,none,24.9,60.7,0.3,11.97,158334
"Россия, Московская область, Одинцовский городской округ, с. Ершово, 9",1,5,1,157894,6300000,none,24.9,39.9,0.3,none,105000
"Россия, Московская область, Люберцы городской округ, дп. Красково, Школьная улица, 2/3",1,14,3,142857,12500000,none,24.9,87.5,0.6,1.26,208334
"Россия, Московская область, Дмитров, Космонавтов м-н, улица Космонавтов, 56",14,17,1,138271,5600000,none,24.9,40.5,0.3,none,93334
"Россия, Московская область, Орехово-Зуево, 3-й Луговой проезд, 8",1,2,2,69318,3050000,none,24.9,44.0,0.3,none,50833
"Россия, Московская область, Щёлково, Богородский м-н, 2",2,16,2,151291,8200000,none,24.9,54.2,0.3,none,136667
"Россия, Московская область, Лобня, 3-й м-н, проезд Шадунца, 11",16,16,2,198046,11150000,none,24.9,56.3,0.3,1.28,185834
"Россия, Московская область, Орехово-Зуево, проезд Бугрова, 4",4,5,1,93548,2900000,none,24.9,31.0,0.3,none,48333
"Россия, Московская область, Одинцовский городской округ, пос. ВНИИССОК, Бородинская улица, 3",1,17,2,148773,9700000,none,24.9,65.2,0.3,4.37,161667
"Россия, Московская область, Домодедово, Авиационный м-н, улица Ильюшина, 20",10,10,1,186516,8300000,2014,24.9,44.5,0.3,none,138334
"Россия, Московская область, Люберцы городской округ, рп. Томилино, улица Гаршина, 14",3,3,1,134444,4840000,none,24.9,36.0,0.3,0.91,80667
"Россия, Московская область, Домодедово, Авиационный м-н, проспект Академика Туполева, 10а",8,10,3,134796,8290000,none,24.9,61.5,0.3,none,138167
"Россия, Московская область, Ленинский городской округ, рп. Дрожжино, Новое шоссе, 12 к1",23,27,3,190635,11400000,none,24.9,59.8,0.6,none,190001
"Россия, Московская область, Домодедово, Северный м-н, улица Ломоносова, 24Б",1,5,2,122950,5250000,none,24.9,42.7,none,15.04,87500
"Россия, Московская область, Реутов, 4-й м-н, улица Гагарина, 40",1,22,1,229166,9350000,none,24.9,40.8,0.3,1.76,155834
"Россия, Московская область, Раменское, улица Мира, 4",3,16,2,174927,12000000,none,24.9,68.6,0.6,0.77,200001
"Россия, Московская область, Ленинский городской округ, пос. Володарского, улица Зелёная, 40",9,9,2,128301,6800000,none,24.9,53.0,none,none,113334
"Россия, Московская область, Подольск городской округ, пос. Молодёжный, 13",3,3,3,95833,6900000,none,24.9,72.0,0.3,15.78,115000
"Россия, Московская область, Электросталь, Южный м-н, улица Мира, 19",4,5,1,117741,3650000,none,24.9,31.0,0.3,none,60833
"Россия, Московская область, Мытищи, 36-й м-н, 2-й Первомайский проезд, 4",3,10,3,160416,15400000,none,24.9,96.0,none,9.75,256668
"Россия, Московская область, Одинцовский городской округ, рп. Новоивановское, Западная улица, 85",3,18,0,194472,3870000,2022,24.9,19.9,none,0.89,64500
"Россия, Московская область, Люберцы городской округ, дп. Красково, улица Карла Маркса, 83",16,17,1,161250,6450000,none,24.9,40.0,0.3,1.28,107500
"Россия, Московская область, Котельники, Силикат м-н, 10",5,9,3,158645,8900000,none,24.9,56.1,0.3,3.29,148334
"Россия, Московская область, Красногорск городской округ, д. Аристово, Северная улица, 4",1,6,2,193737,9900000,none,24.9,51.1,0.3,7.8,165001
"Россия, Московская область, Дмитров, Спасская улица, 3",1,12,1,113008,4170000,none,24.9,36.9,0.3,none,69500
"Россия, Московская область, Клин, Центральная улица, 72",2,10,3,109589,8000000,none,24.9,73.0,0.3,none,133334
"Россия, Московская область, Щёлково, Щёлково-3 м-н, улица Бахчиванджи, 7",5,12,4,146330,15950000,none,24.9,109.0,0.6,none,265835
"Россия, Московская область, Раменский городской округ, рп. Быково, улица Советская, 26",3,5,2,122931,5200000,none,24.9,42.3,0.3,0.56,86667
"Россия, Московская область, Ивантеевка, улица Дзержинского, 8 к1",3,12,3,139823,15800000,none,24.9,113.0,0.6,none,263335
"Россия, Московская область, Богородский городской округ, Яхонтовый лес КЗиО, Таунхаус",2,5,3,117692,15300000,none,24.9,130.0,none,none,255001
"Россия, Московская область, Химки, Левобережный м-н, Зелёная улица, 7",7,9,2,179775,8000000,none,24.9,44.5,0.3,0.91,133334
"Россия, Московская область, Сергиев Посад, улица Маяковского, 19",1,5,2,127777,5290000,none,24.9,41.4,0.3,none,88167
"Россия, Московская область, Королёв, Костино м-н, улица Горького, 14Б",1,14,0,193965,4500000,none,24.9,23.2,0.3,15.62,75000
"Россия, Московская область, Одинцово, Новая Трёхгорка, улица Чистяковой, 65",17,24,1,176733,7900000,none,24.9,44.7,none,2.38,131667
"Россия, Московская область, Красногорск городской округ, д. Путилково, Мортонград Путилково м-н, Спасо-Тушинский бульвар, 8",23,25,1,193181,8500000,none,24.9,44.0,none,5.24,141667
"Россия, Московская область, Электросталь городской округ, Новые дома, 5а",5,5,2,80482,3999990,none,24.9,49.7,0.3,none,66666
"Россия, Московская область, Сергиево-Посадский городской округ, Краснозаводск, улица Строителей, 12",4,5,1,86378,2600000,none,24.9,30.1,0.3,none,43333
"Россия, Московская область, Ленинский городской округ, рп. Боброво, Восточное Бутово м-н, Лесная улица, 20",11,18,0,198076,5150000,2018,24.9,26.0,0.3,4.46,85833
"Россия, Московская область, Лобня, Красная Поляна м-н, улица Спортивная, 3 к3",3,5,2,135524,5299000,none,24.9,39.1,0.3,5.54,88317
"Россия, Московская область, Домодедово городской округ, с. Домодедово, улица Современников, 8",9,17,0,132638,3820000,2023,24.9,28.8,none,13.89,63667
"Россия, Московская область, Ленинский городской округ, рп. Дрожжино, Южная улица, 15",17,17,3,154838,12000000,2021,24.9,77.5,0.6,2.97,200001
"Россия, Московская область, Раменское, Крымская улица, 4",3,17,2,141421,9150000,none,24.9,64.7,0.3,2.34,152501
"Россия, Московская область, Лыткарино, 6-й м-н, 15Б",4,17,1,112345,4550000,2021,24.9,40.5,0.3,10.66,75833
"Россия, Московская область, Химки, Клязьма-Старбеево м-н, Береговая улица, 6",7,7,4,145000,18850000,none,24.9,130.0,0.6,7.73,314168
"Россия, Московская область, Мытищи, 37-й м-н, 2-й Щёлковский проезд, 11 к1",12,16,3,141538,9200000,none,24.9,65.0,0.3,10.39,153334
"Россия, Московская область, Ленинский городской округ, рп. Лопатино, Сухановская улица, 18",8,9,1,171944,6190000,none,24.9,36.0,0.3,5.4,103167
"Россия, Московская область, Ленинский городской округ, рп. Лопатино, Солнечный бульвар, 9",5,9,3,150000,10800000,none,24.9,72.0,0.3,5.6,180001
"Россия, Московская область, Орехово-Зуево, улица Ленина, 47",5,9,3,137630,7900000,none,24.9,57.4,none,none,131667
"Россия, Московская область, Егорьевск, улица Профсоюзная, 25",5,10,1,151162,6500000,none,24.9,43.0,none,none,108334
"Россия, Московская область, Ступино городской округ, с. Большое Алексеевское, Садовая улица, 1а",3,5,2,71969,4750000,none,24.9,66.0,none,none,79167
"Россия, Московская область, Раменское, 1-й м-н, Красноармейская улица, 27 к1",1,5,2,122529,6200000,none,24.9,50.6,0.3,1.73,103334
"Россия, Московская область, Мытищи, 1-й Стрелковый переулок, 3",12,17,1,205056,7300000,2023,24.9,35.6,0.3,12.2,121667
"Россия, Московская область, Истра городской округ, Дедовск, Спортивная улица, 1",3,5,1,155813,4690000,none,24.9,30.1,none,none,78167
"Россия, Московская область, Красноармейск, улица Комсомольская, 11",2,4,1,116883,3600000,none,24.9,30.8,0.3,none,60000
"Россия, Московская область, Щёлково, Объект",10,17,2,155399,10276568,none,24.9,66.13,0.3,none,171277
"Россия, Московская область, Химки, Левобережный м-н, Совхозная улица, 8а",23,25,2,174218,11150000,none,24.9,64.0,0.3,2.15,185834
"Россия, Московская область, Ленинский городской округ, рп. Боброво, Восточное Бутово м-н, Крымская улица, 21 к1",14,17,2,164965,9700000,none,24.9,58.8,0.3,4.24,161667
"Россия, Московская область, Щёлково, Щёлково-3 м-н, Институтская улица, 36",2,5,3,102727,5650000,none,24.9,55.0,0.3,none,94167
"Россия, Московская область, Красногорск, Павшинская пойма м-н, Красногорский бульвар, 24",15,25,3,244060,22600000,2012,24.9,92.6,0.6,1.19,376669
"Россия, Московская область, Красногорск городской округ, пос. Ильинское-Усово, Архангельская улица, 3",8,9,2,285132,14000000,none,24.9,49.1,none,7.66,233335
"Россия, Московская область, Клин, микрорайон Майданово, 4 к1",2,9,2,125000,6000000,none,24.9,48.0,0.3,none,100000
"Россия, Московская область, Химки, Сходня м-н, улица Горная, 24",1,5,3,125636,7400000,none,24.9,58.9,0.3,1.78,123334
"Россия, Московская область, Лыткарино, 2-й м-н, Комсомольская улица, 30",2,5,2,126847,5150000,none,24.9,40.6,0.3,10.33,85833
"Россия, Московская область, Красногорск, Павшинская пойма м-н, Красногорский бульвар, 14",12,21,3,228694,21200000,2012,24.9,92.7,0.6,1.48,353335
"Россия, Московская область, Подольск городской округ, д. Бородино, Варшавское шоссе, 72",1,4,1,134009,5950000,none,24.9,44.4,0.3,7.17,99167
"Россия, Московская область, Балашиха, Саввино м-н, Безымянная улица, 4",8,17,0,191235,4800000,2020,24.9,25.1,0.3,2.65,80000
"Россия, Московская область, Красногорск, Изумрудные холмы, бульвар Космонавтов, 8",24,25,0,208000,5200000,none,24.9,25.0,0.3,3.47,86667
"Россия, Московская область, Дмитров, Спасская улица, 6а",9,16,1,118644,5600000,none,24.9,47.2,0.3,none,93334
"Россия, Московская область, Лобня, Катюшки м-н, Юности улица, 3",14,19,1,157107,6300000,none,24.9,40.1,0.3,3.06,105000
"Россия, Московская область, Сергиево-Посадский городской округ, с. Сватково, 2",3,5,2,102272,4500000,none,24.9,44.0,0.3,none,75000
"Россия, Московская область, Одинцовский городской округ, рп. Новоивановское, Западная улица, 85",11,17,0,187247,4640000,2022,24.9,24.78,none,0.89,77333
"Россия, Московская область, Химки, Сходня м-н, улица Овражная, 24 к12",5,8,1,193225,5990000,none,24.9,31.0,0.3,1.05,99834
"Россия, Московская область, Балашиха, Алексеевская роща квартал, улица Дмитриева, 26",16,19,1,137500,5500000,none,24.9,40.0,none,10.61,91667
"Россия, Московская область, Балашиха, Железнодорожный м-н, улица Поликахина, 5",9,22,3,155405,11500000,none,24.9,74.0,0.6,1.54,191668
"Россия, Московская область, Балашиха, Саввино м-н, улица Калинина, 24",2,17,1,138095,5799999,2019,24.9,42.0,none,2.55,96667
"Россия, Московская область, Солнечногорск городской округ, д. Стрелино, 69",3,3,2,95520,4499000,none,24.9,47.1,none,none,74983
"Россия, Московская область, Химки, Новогорск м-н, Ивановская улица, 5 к2",1,4,3,202952,16500000,2019,24.9,81.3,0.6,5.83,none
"Россия, Московская область, Дмитров, имени В.Н. Махалина м-н, 39",10,17,1,116314,3850000,2024,24.9,33.1,0.3,none,64167
"Россия, Московская область, Одинцовский городской округ, пос. Сосны, 21",1,8,3,192118,39000000,none,24.9,203.0,0.6,none,650004
"Россия, Московская область, Балашиха, Ольгино м-н, улица Граничная, 32",6,17,1,157500,6300000,none,24.9,40.0,0.3,1.45,105000
"Россия, Московская область, Домодедово городской округ, с. Растуново, улица Заря, 4",1,4,2,110000,4950000,none,24.9,45.0,0.3,none,82500
"Россия, Московская область, Богородский городской округ, Старая Купавна, улица Матросова, 3",3,5,1,150819,4600000,none,24.9,30.5,0.3,none,76667
"Россия, Московская область, Химки, Новые Химки м-н, Молодёжная улица, 64",23,25,3,152564,11900000,none,24.9,78.0,none,3.29,198334
"Россия, Московская область, Королёв, Подлипки м-н, улица Богомолова, 2 / улица Гагарина, 20",4,5,2,140508,8290000,none,24.9,59.0,0.3,11.83,138167
"Россия, Московская область, Котельники, Белая Дача м-н, 2-й Покровский проезд, 12",13,18,1,253968,7999999,none,24.9,31.5,none,1.56,133334
"Россия, Московская область, Одинцово, микрорайон Клубничное поле, 8",6,24,1,299035,9300000,2022,24.9,31.1,0.3,none,155001
"Россия, Московская область, Одинцово, Кутузовский м-н, улица Чистяковой, 16",7,24,2,167464,10500000,none,24.9,62.7,0.3,1.46,175001
"Россия, Московская область, Балашиха, Новое Павлино м-н, Косинское шоссе, 4",12,22,1,191428,6700000,2019,24.9,35.0,0.3,3.73,111667
"Россия, Московская область, Мытищи, 36-й м-н, Ярославское шоссе, 107",6,19,1,159546,6685000,none,24.9,41.9,none,9.82,111417
"Россия, Московская область, Домодедово, Западный м-н, Рабочая улица, 51",4,5,2,127777,6900000,none,24.9,54.0,none,15.24,115000
"Россия, Московская область, Наро-Фоминск, улица Мира, 8",3,5,1,179411,5490000,none,24.9,30.6,0.3,none,91500
"Россия, Московская область, Домодедово, Центральный м-н, улица Корнеева, 44",6,9,2,174603,8800000,none,24.9,50.4,0.3,16.2,146667
"Россия, Московская область, Домодедово, Востряково м-н, улица Курыжова, 1 к3",5,12,2,158964,8600000,none,24.9,54.1,0.3,16.18,143334
"Россия, Московская область, Люберцы, Инициативная улица, 13",16,25,1,193331,8699900,none,24.9,45.0,none,none,144999
"Россия, Московская область, Павловский Посад, улица Герцена, 24",3,9,2,102119,5300000,none,24.9,51.9,0.3,none,88333
"Россия, Московская область, Балашиха, им. Гагарина м-н, Балашихинское шоссе, 16",14,25,2,137123,8200000,none,24.9,59.8,none,8.45,136667
"Россия, Московская область, Раменское, Красный Октябрь м-н, Десантная улица, 17",21,22,3,97938,9500000,none,24.9,97.0,none,1.24,158334
"Россия, Московская область, Подольск городской округ, пос. радиоцентра ""Романцево"", 9",4,5,2,106982,4290000,none,24.9,40.1,0.3,18.06,71500
"Россия, Московская область, Рузский городской округ, пос. пансионата ""Полушкино"", улица Госпиталь, 2",2,2,2,96774,3000000,none,24.9,31.0,0.3,none,50000
"Россия, Московская область, Мытищи, 8-й м-н, улица Юбилейная, 11 к3",3,5,2,166666,7500000,none,24.9,45.0,0.3,5.71,125000
"Россия, Московская область, Мытищи, 3-й м-н, Новомытищинский проспект, 23/7 / улица Щербакова, 7",2,5,2,162471,7100000,none,24.9,43.7,0.3,6.34,118334
"Россия, Московская область, Дмитров, 2-я Комсомольская улица, 16 к2",5,17,2,124615,8100000,none,24.9,65.0,0.3,none,135000
"Россия, Московская область, Красногорск, Павшинская пойма м-н, Павшинский бульвар, 38",14,15,1,163859,10700000,2012,24.9,65.3,0.3,1.68,178334
"Россия, Московская область, Мытищи, 29-й м-н, Стрелковая улица, 17",5,17,1,184615,7200000,none,24.9,39.0,0.3,12.2,120000
"Россия, Московская область, Балашиха, Железнодорожный м-н, Пионерская улица, 33",4,17,3,151764,12900000,none,24.9,85.0,none,2.56,215001
"Россия, Московская область, Балашиха, Дзержинского м-н, 31",1,9,2,158192,5600000,none,24.9,35.4,0.3,2.55,93334
"Россия, Московская область, Дзержинский, Спортивный м-н, улица Дзержинская, 24",3,4,2,200992,8100000,none,24.9,40.3,none,7.07,135000
"Россия, Московская область, Ленинский городской округ, рп. Лопатино, Сухановская улица, 9",1,9,1,196666,5900000,2019,24.9,30.0,0.3,5.16,98334
"Россия, Московская область, Воскресенск, Центральный м-н, улица Докторова, 4",4,5,1,134353,3950000,none,24.9,29.4,0.3,none,65833
"Россия, Московская область, Орехово-Зуевский городской округ, Куровское, Почтовая улица, 7",5,5,2,115384,7500000,none,24.9,65.0,none,none,125000
"Россия, Московская область, Сергиево-Посадский городской округ, Краснозаводск, улица 40 лет Победы, 1",5,5,2,93457,5000000,none,24.9,53.5,0.3,none,83333
"Россия, Московская область, Раменский городской округ, д. Заболотье, СПТУ-93 улица, 4",3,5,2,130784,6500000,none,24.9,49.7,0.3,2.9,108334
"Россия, Московская область, Балашиха, Железнодорожный м-н, улица Корнилаева, 5",4,12,1,201807,6700000,2022,24.9,33.2,none,2.1,111667
"Россия, Московская область, Видное, 5-й м-н, Радужная улица, 6 к1",1,19,3,200471,17000000,none,24.9,84.8,0.6,8.35,283335
"Россия, Московская область, Щёлково городской округ, д. Большие Жеребцы, Восточный микрорайон, 1 к1",5,5,2,121693,6900000,none,24.9,56.7,0.3,15.54,115000
"Россия, Московская область, Орехово-Зуево, Карболит м-н, проезд Бондаренко, 6",5,5,2,105263,4200000,none,24.9,39.9,none,none,70000
"Россия, Московская область, Подольск, Межшоссейный м-н, улица Свердлова, 3",1,5,2,149321,6600000,none,24.9,44.2,0.3,1.8,110000
"Россия, Московская область, Серпухов, Советская улица, 98",1,5,2,98863,4350000,none,24.9,44.0,0.3,none,72500
"Россия, Московская область, Ленинский городской округ, рп. Дрожжино, Южная улица, 3 к1",24,26,2,283333,15300000,2022,24.9,54.0,0.6,none,255001
"Россия, Московская область, Клин городской округ, рп. Решетниково, проезд ОПМС-1, 13",5,5,3,88333,5300000,none,24.9,60.0,0.3,none,88333
"Россия, Московская область, Дзержинский, Центральный м-н, улица Угрешская, 20",18,23,3,194533,18150000,none,24.9,93.3,0.6,5.81,302502
"Россия, Московская область, Солнечногорск, Гражданская улица, 14",3,9,3,128551,9050000,none,24.9,70.4,none,none,150834
"Россия, Московская область, Фрязино, 3-й м-н, проспект Мира, 2",4,5,2,112500,5400000,none,24.9,48.0,0.3,none,90000
"Россия, Московская область, Химки городской округ, д. Рузино, Кутузовский микрорайон, 1 к3",2,17,2,202222,9100000,2020,24.9,45.0,0.3,none,151667
"Россия, Московская область, Истра городской округ, Агаларов Эстейт, Заречная улица, 37",3,3,3,371724,61000000,none,24.9,164.1,none,14.56,1016674
"Россия, Московская область, Дмитровский городской округ, рп. Деденево, Комсомольская улица, 26",5,5,1,156666,4700000,none,24.9,30.0,0.3,none,78333
"Россия, Московская область, Одинцовский городской округ, Звенигород, Южный м-н, Радужная улица, 23",6,15,1,138580,6250000,none,24.9,45.1,none,none,104167
"Россия, Московская область, Сергиево-Посадский городской округ, д. Шарапово, улица Военный городок, 92а",5,5,2,90526,4300000,none,24.9,47.5,0.3,none,71667
"Россия, Московская область, Одинцово, улица Северная, 5 к2",2,24,0,184563,5500000,none,24.9,29.8,none,3.24,91667
"Россия, Московская область, Пушкинский городской округ, рп. Лесной, улица Пушкина, 8",8,9,1,152482,4300000,none,24.9,28.2,0.3,none,71667
"Россия, Московская область, Королёв, Костино м-н, проспект Космонавтов, 40",4,14,2,161111,8700000,none,24.9,54.0,0.3,17.61,145001
"Россия, Московская область, Мытищи городской округ, д. Пирогово, улица Ильинского, 5",6,6,3,142941,12850463,none,24.9,89.9,none,none,214175
"Россия, Московская область, Истра городской округ, Агаларов Эстейт, Спортивная улица, 20",3,3,2,366507,61500000,none,24.9,167.8,none,none,1025007
"Россия, Московская область, Орехово-Зуево, улица 1905 года, 5",8,10,3,105617,9400000,none,24.9,89.0,none,none,156667
"Россия, Московская область, Домодедово, Востряково м-н, улица Курыжова, 5",2,17,2,150000,8400000,none,24.9,56.0,0.3,16.2,140001
"Россия, Московская область, Орехово-Зуево, улица Бирюкова, 6",5,5,1,109677,3400000,none,24.9,31.0,0.3,none,none
"Россия, Московская область, Одинцовский городской округ, рп. Заречье, 14",4,9,1,224806,8700000,none,24.9,38.7,0.3,3.33,145001
"Россия, Московская область, Одинцовский городской округ, пос. Сосны, 21",1,8,2,144000,10800000,none,24.9,75.0,0.3,none,180001
"Россия, Московская область, Пушкинский городской округ, с. Тарасовка, Солнечная улица, 26 к4",4,4,1,122222,5500000,none,24.9,45.0,0.3,18.65,91667
"Россия, Московская область, Лосино-Петровский городской округ, рп. Свердловский, Лукино-Варино, Молодёжная улица, 3",9,16,2,117328,6500000,none,24.9,55.4,0.3,none,108334
"Россия, Московская область, Балашиха, Железнодорожный м-н, Пионерская улица, 18",5,5,2,113636,5000000,none,24.9,44.0,0.3,2.08,83333
"Россия, Московская область, Домодедово, Востряково м-н, улица Курыжова, 20",3,22,2,145328,8400000,none,24.9,57.8,none,16.8,140001
"Россия, Московская область, Королёв, Текстильщик м-н, Советская улица, 11",5,9,2,145522,7800000,none,24.9,53.6,0.3,15.95,130000
