location,floor,floor_count,rooms_count,square_meter_price,price,year_of_construction,ipoteka_rate,area,discount,distance,monthly_payment
"Россия, Московская область, Щёлково городской округ, д. Большие Жеребцы, Восточный микрорайон, 1 к8",3,5,2,126817,7850000,none,24.9,61.9,0.3,none,none
"Россия, Московская область, Шатура городской округ, с. Дмитровский Погост, Футбольная улица, 10",2,3,1,67183,2600000,none,24.9,38.7,0.3,none,43333
"Россия, Московская область, городской округ Химки, деревня Рузино, микрорайон Кутузовский, жилой комплекс Новый Зеленоград, 2А",6,17,2,175000,10500000,2023,24.9,60.0,0.3,none,none
"Россия, Московская область, Люберцы, Зенино ЖК Самолёт м-н, улица Дружбы, 7 к2",15,17,2,209067,8070000,none,24.9,38.6,none,3.05,134500
"Россия, Московская область, Лобня, Красная Поляна м-н, Текстильная улица, 16",9,14,1,143776,6700000,none,24.9,46.6,0.3,4.46,111667
"Россия, Московская область, Щёлково, Жегалово м-н, Жегаловская улица, 29а",7,18,0,166666,5200000,2020,24.9,31.2,0.3,none,86667
"Россия, Московская область, Ногинск, Глухово м-н, улица Ильича, 9а",4,4,1,111464,3500000,none,24.9,31.4,0.3,none,58333
"Россия, Московская область, Красногорск, Павшинская пойма м-н, Красногорский бульвар, 8",12,25,2,219279,13990000,none,24.9,63.8,0.6,1.4,233168
"Россия, Московская область, Видное, улица Завидная, 6",8,15,3,187592,12700000,2016,24.9,67.7,0.6,13.37,211668
"Россия, Московская область, Котельники, Новорязанское шоссе, 6",2,30,2,234000,11435580,none,24.9,48.87,0.6,1.73,none
"Россия, Московская область, Котельники, Новорязанское шоссе, 6",2,30,1,228799,7493175,none,24.9,32.75,0.3,1.73,none
"Россия, Московская область, Люберцы, Зенино ЖК Самолёт м-н, Озёрная улица, 2",2,17,2,192906,7793433,none,24.9,40.4,none,3.33,none
"Россия, Московская область, Истра городской округ, с. Павловская Слобода, Изумрудная улица, 6 к4",2,4,1,259064,11735630,2023,24.9,45.3,0.6,8.48,195595
"Россия, Московская область, Ленинский городской округ, пгт Мисайлово, Пригород Лесное м-н, Молодёжный бульвар, 5",10,17,1,180277,6490000,2019,24.9,36.0,none,11.39,108167
"Россия, Московская область, Мытищи, 10а м-н, Новомытищинский проспект, 62 к1",4,10,2,228803,10776632,none,24.9,47.1,0.3,6.13,179611
"Россия, Московская область, Люберцы, Зенино ЖК Самолёт м-н, улица Дружбы, 7 к1",15,17,0,210526,4000000,2016,24.9,19.0,none,2.97,66667
"Россия, Московская область, Балашиха, Новое Измайлово квартал, улица Строителей, 1",17,25,2,147058,10000000,none,24.9,68.0,0.3,4.67,166667
"Россия, Московская область, Балашиха городской округ, д. Павлино, 69",7,18,2,138888,10000000,none,24.9,72.0,0.3,3.13,166667
"Россия, Московская область, Подольск, Шепчинки м-н, Пионерская улица, 15",12,15,2,132867,9499999,none,24.9,71.5,0.3,3.88,none
"Россия, Московская область, Красногорск городской округ, д. Глухово, Романовская улица, 7",3,8,1,198730,7200000,none,24.9,36.23,0.3,none,120000
"Россия, Московская область, Мытищи, 24-й м-н, Олимпийский проспект, 30",3,16,3,150000,9750000,none,24.9,65.0,0.3,8.82,162501
"Россия, Московская область, Люберцы городской округ, рп. Октябрьский, Спортивная улица, 2",14,17,2,147564,10300000,none,24.9,69.8,0.3,none,171667
"Россия, Московская область, Красногорск городской округ, пос. Ильинское-Усово, проезд Александра Невского, 9",9,10,1,207317,8500000,none,24.9,41.0,0.3,9.29,141667
"Россия, Московская область, Люберцы, улица Юности, 11",5,9,0,242537,6500000,none,24.9,26.8,0.3,0.78,108334
"Россия, Московская область, Подольск, Красная Горка м-н, Садовая улица, 7",3,14,2,145614,8300000,none,24.9,57.0,0.3,3.14,none
"Россия, Московская область, Красногорск городской округ, пос. Ильинское-Усово, Архангельская улица, 6",2,9,1,191326,7500000,2023,24.9,39.2,0.3,7.93,125000
"Россия, Московская область, Павловский Посад, улица Вокзальная, 3",7,14,3,112936,11000000,none,24.9,97.4,0.3,none,none
"Россия, Московская область, Электрогорск, улица Горького, 35",9,9,3,80445,6500000,none,24.9,80.8,0.3,none,108334
"Россия, Московская область, Котельники, жилой комплекс Белые Росы, к1",8,24,2,191815,15000000,2022,24.9,78.2,0.6,0.72,none
"Россия, Московская область, Щёлково городской округ, д. Медвежьи Озёра, Юбилейная улица, 11",9,14,2,118518,6400000,none,24.9,54.0,0.3,14.28,106667
"Россия, Московская область, Лосино-Петровский, улица 7 Ноября, 5",9,9,1,115384,3300000,none,24.9,28.6,0.3,none,55000
"Россия, Московская область, Щёлково городской округ, рп. Монино, Георгиевский м-н, улица Генерала Ковачевича, 10 к2",5,7,1,122222,4290000,none,24.9,35.1,0.3,none,71500
"Россия, Московская область, Дмитров, имени В.Н. Махалина м-н, 39",6,17,1,121538,3950000,2024,24.9,32.5,0.3,none,65833
"Россия, Московская область, Мытищи городской округ, пос. Нагорное, Липкинское шоссе, 14",1,4,1,374005,14100000,2021,24.9,37.7,0.6,2.65,235001
"Россия, Московская область, Люберцы, Зенино ЖК Самолёт м-н, Озёрная улица, 2",12,17,2,195995,8094600,none,24.9,41.3,none,3.33,none
"Россия, Московская область, Фрязино, 3-й м-н, проспект Мира, 2",2,5,1,119873,3800000,none,24.9,31.7,0.3,none,63333
"Россия, Московская область, Красногорск, Павшино м-н, Большая Воскресенская улица, 1",16,30,3,296703,13500000,none,24.9,45.5,0.6,0.39,225001
"Россия, Московская область, Ступино городской округ, рп. Михнево, Московская улица, 11",2,5,2,88409,3890000,none,24.9,44.0,0.3,none,64833
"Россия, Московская область, Люберцы, Рождественская улица, 6",6,25,2,285090,15680000,2022,24.9,55.0,none,none,261335
"Россия, Московская область, Котельники, 2-й Покровский проезд, 2",8,17,3,139175,13500000,none,24.9,97.0,0.6,2.05,225001
"Россия, Московская область, городской округ Красногорск, посёлок Отрадное, Пятницкая улица, 2",1,5,4,267767,29990000,none,24.9,112.0,0.6,none,none
"Россия, Московская область, Красногорск, Павшино м-н, Авангардная улица, 6",40,45,2,283018,12000000,none,24.9,42.4,none,1.37,none
"Россия, Московская область, Мытищи, 10а м-н, Новомытищинский проспект, 62 к1",7,10,2,236761,11459261,none,24.9,48.4,0.6,6.13,190989
"Россия, Московская область, Клин, микрорайон Майданово, 4 к2",8,9,2,141936,8150000,2024,24.9,57.42,0.3,none,135834
"Россия, Московская область, Фрязино, проспект Мира, 13",2,9,1,131818,4350000,none,24.9,33.0,0.3,none,none
"Россия, Московская область, Красногорск городской округ, д. Путилково, Мортонград Путилково м-н, Сходненская улица, 11",10,25,1,191100,8160000,none,24.9,42.7,none,5.42,120575
"Россия, Московская область, Красногорск городской округ, пос. Ильинское-Усово, проезд Александра Невского, 5",2,11,2,187484,11999000,none,24.9,64.0,none,9.44,none
"Россия, Московская область, Мытищи, 10а м-н, Новомытищинский проспект, 62 к1",5,10,2,230926,10876632,none,24.9,47.1,0.3,6.13,181278
"Россия, Московская область, Мытищи городской округ, д. Пирогово, улица Ильинского, 5",6,9,0,187331,5563758,none,24.9,29.7,none,none,92729
"Россия, Московская область, Люберцы, Зенино ЖК Самолёт м-н, Озёрная улица, 2",16,17,0,239143,5093750,none,24.9,21.3,none,3.33,none
"Россия, Московская область, Ленинский городской округ, рп. Дрожжино, Новое шоссе, 12 к3",7,17,3,148684,11300000,none,24.9,76.0,none,3.26,188334
"Россия, Московская область, Ленинский городской округ, д. Коробово, улица Авиаторов, 3",14,17,2,181632,8900000,2023,24.9,49.0,0.3,15.53,148334
"Россия, Московская область, Мытищи, Тенистый бульвар, 13",1,6,0,187500,4950000,2021,24.9,26.4,0.3,11.54,82500
"Россия, Московская область, Королёв, Первомайский м-н, Солнечная улица, 2",3,4,2,209000,13104300,none,24.9,62.7,0.6,17.72,218406
"Россия, Московская область, Богородский городской округ, Электроугли, 2-й Троицкий переулок, 6",1,3,4,93058,7910000,none,24.9,85.0,none,none,131834
"Россия, Московская область, Одинцово, 8-й м-н, Комсомольская улица, 16 к3",7,9,1,231117,7650000,none,24.9,33.1,0.3,1.0,127500
"Россия, Московская область, Павлово-Посадский городской округ, Электрогорск, улица Ленина, 66",2,2,2,73453,2850000,none,24.9,38.8,0.3,none,none
"Россия, Московская область, Люберцы, Зенино ЖК Самолёт м-н, Озёрная улица, 2",8,17,1,210023,6636740,none,24.9,31.6,none,3.33,none
"Россия, Московская область, Щёлково, Соболевка м-н, 25",7,8,1,161842,6150000,2021,24.9,38.0,0.3,none,102500
"Россия, Московская область, Щёлково, 1-й Советский переулок, 4",4,5,1,130281,3700000,none,24.9,28.4,0.3,none,61667
"Россия, Московская область, Щёлково, Щёлково-3 м-н, улица Бахчиванджи, 4",2,9,3,109139,10150000,none,24.9,93.0,0.3,none,169167
