location,floor,floor_count,rooms_count,square_meter_price,price,area,distance,monthly_payment
"Ленинский городской округ, рп. Дрожжино, Новое шоссе, 8 к2",16,17,1,175000,7000000,40.0,3.02,116667.0
"Домодедово, Западный м-н, Зелёная улица, 77",3,3,2,121338,5800000,47.8,15.62,96667.0
"Щёлково, Пролетарский проспект, 9 к2",1,10,3,136890,11800000,86.2,5.536184325362192,196668.0
"Сергиев Посад, 1-я Рыбная улица, 82",4,9,4,119897,9400000,78.4,5.536184325362192,156667.0
"Ногинск, улица Климова, 25",8,17,3,145180,12500000,86.1,5.536184325362192,208334.0
"Балашиха, Новое Павлино м-н, улица Бояринова, 23",6,23,1,155279,4999999,32.2,3.98,83333.0
"Ступино, проспект Победы, 55",4,5,2,127002,5550000,43.7,5.536184325362192,94167.0
"Одинцово, Триумфальная улица, 4",9,17,2,179687,11500000,64.0,5.536184325362192,191668.0
"Дзержинский, улица Дзержинская, 28",7,8,1,154705,7951840,51.4,7.25,132531.0
"Зарайск, Ленинская улица, 46а",4,5,3,103852,6200000,59.7,5.536184325362192,103334.0
"Одинцово, Одинцовский парк, улица Белорусская, 10",15,20,3,162790,14000000,86.0,2.35,233335.0
"Щёлково городской округ, рп. Монино, улица Генерала Дементьева, 15",2,9,3,120967,7500000,62.0,5.536184325362192,125000.0
"Подольск, Силикатная-2 м-н, улица Профсоюзная, 8",4,5,3,155172,9000000,58.0,0.85,150001.0
"Красногорск, Райцентр м-н, Комсомольская улица, 5",5,5,1,206185,6000000,29.1,1.36,100000.0
"Люберцы, Колхозная улица, 14",5,5,3,148178,8950000,60.4,0.87,149167.0
"Красногорск городской округ, д. Раздоры, улица Липовой Рощи, 4 к1",4,22,2,265177,12999000,49.02,2.58,216651.0
"Мытищи, 24-й м-н, улица Воронина, 14",3,17,1,196428,8250000,42.0,9.56,137501.0
"Балашиха, Салтыковка м-н, Мирской проезд, 5",7,16,1,232273,9500000,40.9,1.75,158334.0
"Химки, Старые Химки м-н, улица Кудрявцева, 16",36,41,3,363075,29990000,82.6,1.09,499837.0
"Дмитровский городской округ, рп. Деденево, Заречная улица, 7",5,5,3,113293,7500000,66.2,5.536184325362192,125000.0
"Ленинский городской округ, рп. Лопатино, Сухановская улица, 2",4,9,1,180000,7200000,40.0,5.07,120000.0
"Красноармейск, Северный м-н, 1",2,9,2,112962,5490000,48.6,5.536184325362192,91500.0
"Подольск, Силикатная-2 м-н, Подольская улица, 18 к1",1,5,1,139024,5700000,41.0,0.72,95000.0
"Солнечногорск, Обуховская улица, 50Б",4,17,1,159564,6590000,41.3,5.536184325362192,109834.0
"Красногорск, Изумрудные холмы, улица Игоря Мерлушкина, 10",9,24,1,190465,8190000,43.0,2.97,136501.0
"Красногорск, Южный м-н, Южный бульвар, 2",4,17,2,217391,11500000,52.9,1.77,191668.0
"Истра городской округ, Агаларов Эстейт, Заречная улица, 47",3,3,3,365014,62600000,171.5,5.536184325362192,1043340.0
"Одинцовский городской округ, Голицыно, Советская улица, 56/3",8,9,3,136181,10200000,74.9,12.62,170001.0
"Солнечногорск городской округ, Солнечногорск-2, Центральная улица, 1",4,5,3,96610,5700000,59.0,5.536184325362192,95000.0
"Наро-Фоминск, улица Шибанкова, 89",1,9,1,149250,4999900,33.5,5.536184325362192,83332.0
"Домодедово, Центральный м-н, улица Кирова, 17 к1",11,17,2,173015,10900000,63.0,14.26,181668.0
"Балашиха, Поле Чудес м-н, улица Свердлова, 51",6,10,3,120063,7600000,63.3,9.88,137501.0
"Ступино, проспект Победы, 55",4,5,2,127002,5550000,43.7,5.536184325362192,92500.0
"Домодедово, Белые Столбы м-н, улица Мечты, 6 к2",3,3,3,97435,7600000,78.0,5.536184325362192,108334.0
"Подольск городской округ, д. Бородино, Варшавское шоссе, 72",3,4,4,118665,18500000,155.9,7.17,308335.0
"Наро-Фоминский городской округ, рп. Селятино, 8",3,3,3,112162,8300000,74.0,8.5,138334.0
"Лыткарино, 1-й м-н, Набережная улица, 20Б",4,5,2,113333,5100000,45.0,11.24,85973.0
"Люберцы, улица Кирова, 11",12,22,3,169791,16300000,96.0,1.35,271668.0
"Люберцы, Красная горка м-н, проспект Победы, 16 к2",9,25,1,179574,8440000,47.0,1.5,140667.0
"Красногорск, Опалиха м-н, улица Пришвина, 5",7,8,1,287162,8500000,29.6,1.38,141667.0
"Котельники, Сосновая улица, 2",9,24,1,192575,8300000,43.1,0.72,138334.0
"Люберцы, Городок А м-н, улица 3-е Почтовое отделение, 18",4,5,2,174603,7700000,44.1,1.55,128334.0
"Балашиха, Железнодорожный м-н, Юбилейная улица, 4а",14,14,3,145209,9700000,66.8,1.5,161667.0
"Электросталь, Южный м-н, улица Мира, 24",4,9,3,108761,7200000,66.2,5.536184325362192,120000.0
"Лыткарино, 4а м-н, 6",14,17,3,208974,16300000,78.0,10.26,271668.0
"Клин, Профсоюзная улица",7,10,1,136956,6300000,46.0,5.536184325362192,105000.0
"Одинцово, 6-й м-н, Можайское шоссе, 92",3,5,2,171990,7000000,40.7,1.36,116667.0
"Видное, Видный город, бульвар имени народного артиста СССР Мстислава Ростроповича, 4 к1",7,8,1,156340,5425000,34.7,5.58,90417.0
"Красногорск городской округ, рп. Нахабино, Красноармейская улица, 4",5,9,2,140186,7500000,53.5,1.03,125000.0
"Балашиха, Кучино м-н, улица Брагина, 5",2,17,1,142578,7300000,51.2,1.49,121667.0
"Пушкино, Кудринка м-н, проезд Чапаева, 9/11 / Центральная улица, 11",5,5,3,125996,7900000,62.7,5.536184325362192,131667.0
"Ивантеевка, Хлебозаводская улица, 28 к2",12,17,2,165505,9500000,57.4,5.536184325362192,158334.0
"Королёв, Завокзальный м-н, Садовая улица, 10а",1,5,3,119005,6700000,56.3,13.44,111667.0
"Пушкино, улица Первомайская, 11",2,5,3,129518,6450000,49.8,5.536184325362192,107500.0
"Пушкино, Дзержинец м-н, 13",4,9,3,125217,7200000,57.5,5.536184325362192,120000.0
"Пушкино, улица Озёрная, 11 к1",9,17,3,157527,15800000,100.3,5.536184325362192,263335.0
"Мытищи, 6-й м-н, улица Юбилейная, 33",4,9,2,157151,7999000,50.9,4.38,133317.0
"Пушкино, Московский проспект, 57 к3",10,19,2,176791,11350000,64.2,5.536184325362192,191334.0
"Красногорск, Южный м-н, Заводская улица, 18 к3",22,25,1,276967,9500000,34.3,1.83,158334.0
"Щёлково городской округ, д. Большие Жеребцы, Восточный микрорайон, 1 к9",5,5,3,82926,6800000,82.0,15.74,113334.0
"Щёлково, Потаповский м-н, 1",6,17,2,155425,10600000,68.2,5.536184325362192,176667.0
"Королёв, улица Орджоникидзе, 2г",2,19,2,149310,12990000,87.0,13.93,216501.0
"Мытищи городской округ, д. Бородино, Малая Бородинская улица, 1 к1",6,16,1,209638,8700000,41.5,5.536184325362192,145001.0
"Лосино-Петровский городской округ, рп. Свердловский, Лукино-Варино, Берёзовая улица, 2",10,16,2,106007,6000000,56.6,5.536184325362192,100000.0
"Орехово-Зуевский городской округ, пос. Авсюнино, улица Ленина, 6",4,4,2,73033,3250000,44.5,5.536184325362192,54167.0
"Орехово-Зуевский городской округ, пос. Авсюнино, улица Ленина, 14",2,5,1,81666,2450000,30.0,5.536184325362192,40833.0
"Орехово-Зуевский городской округ, Куровское, Заречный м-н, улица Коммунистическая, 8",2,4,1,91803,2800000,30.5,5.536184325362192,46667.0
"Орехово-Зуевский городской округ, д. Давыдово, улица Заводская, 1",2,5,1,86092,2600000,30.2,5.536184325362192,43333.0
"Солнечногорск городской округ, рп. Андреевка, улица Жилинская, 27 к5",9,12,2,165517,9600000,58.0,3.3,160001.0
"Люберцы, Весенняя улица, 4 к2",13,22,2,205769,10700000,52.0,1.51,178334.0
"Одинцовский городской округ, рп. Заречье, Сосновая улица, 16 к1",2,7,4,975941,215000000,220.3,4.24,108334.0
"Мытищи, 16-й м-н, улица Мира, 37",7,25,3,200000,13500000,67.5,5.94,225001.0
"Подольск, Высотный м-н, улица Кирова, 63 / улица Высотная, 1",4,5,2,127173,5850000,46.0,3.72,97500.0
"Дмитровский городской округ, рп. Некрасовский, Трудовая м-н, 11",1,3,3,95238,7000000,73.5,15.78,116667.0
"Лыткарино, 6-й м-н, 15д",15,17,1,137250,5490000,40.0,10.55,91500.0
"Одинцовский городской округ, рп. Заречье, Луговая улица, 6 к1",2,9,2,305261,13065179,42.8,2.94,217754.0
"Подольск, Кузнечики м-н, Армейский проезд, 7",2,12,3,113662,9900000,87.1,6.67,165001.0
