location,floor,floor_count,rooms_count,square_meter_price,price,area,distance,monthly_payment
"Люберцы городской округ, рп. Томилино, улица Гаршина, 20а",3,5,2,158986,6900000,43.4,5.536184325362192,115000.0
"Подольск, Шепчинки м-н, улица Литейная, 38 / улица Володи Дубинина, 8",2,3,2,108333,6500000,60.0,3.21,108334.0
"Ленинский городской округ, рп. Дрожжино, Южная улица, 11 к4",12,26,1,191842,6350000,33.1,3.04,105834.0
"Долгопрудный, Гранитный м-н, Лихачёвское шоссе, 31 к1",2,10,1,200000,7600000,38.0,1.79,126667.0
"Красногорск городской округ, пос. Отрадное, Пятницкая улица, 12",2,13,2,230245,8800000,38.22,5.536184325362192,146667.0
"Лыткарино, 6-й м-н, 15Б",13,17,3,157012,10300000,65.6,10.66,171667.0
"Лобня, Красная Поляна м-н, Текстильная улица, 16",9,14,1,143776,6700000,46.6,4.46,112946.0
"Дзержинский, Лесной м-н, улица Доркина, 6",14,17,1,160828,10100000,62.8,6.95,168334.0
"Ленинский городской округ, пгт Мисайлово, Пригород Лесное м-н, Молодёжный бульвар, 13",2,17,2,166168,8890000,53.5,11.47,148167.0
"Мытищи, 2-й Красноармейский переулок, 3",12,13,1,223981,9900000,44.2,5.536184325362192,146107.0
"Лосино-Петровский, улица 7 Ноября, 5",9,9,1,114685,3280000,28.6,5.536184325362192,54667.0
"Одинцовский городской округ, с. Ромашково, Ромашково, Рублёвский проезд, 40 к6",5,6,2,197486,11000000,55.7,3.64,183334.0
"Красногорск городской округ, д. Сабурово, Рождественская улица, 1",8,8,1,142307,5550000,39.0,7.98,92500.0
"Люберцы, Красная горка м-н, проспект Победы, 4",2,17,1,176470,7500000,42.5,1.55,125000.0
"Истра городской округ, с. Павловская Слобода, Комсомольская улица, 2",5,5,1,165714,5800000,35.0,5.536184325362192,96667.0
"Красногорск городской округ, рп. Нахабино, Красноармейская улица, 4",8,9,1,162857,5700000,35.0,1.03,95000.0
"Видное, Видный город, улица имени народной артистки СССР Галины Вишневской, 5",6,9,1,237458,7100000,29.9,5.06,118334.0
"Клин, микрорайон Майданово, 4 к2",6,9,1,149847,5589300,37.3,5.536184325362192,93155.0
"Клин, микрорайон Майданово, 4 к2",2,9,1,189440,6100000,32.2,5.536184325362192,101667.0
"Мытищи, 10а м-н, Новомытищинский проспект, 62 к1",9,10,2,238054,12831146,53.9,6.13,213854.0
"Дмитровский городской округ, Дмитров-4, Триумфальная улица, 10",5,5,3,109256,7200000,65.9,5.536184325362192,108334.0
"Рошаль, улица Фридриха Энгельса, 1а",1,5,1,59210,1800000,30.4,5.536184325362192,108334.0
"Рошаль, Советская улица, 51",5,5,1,62187,1990000,32.0,5.536184325362192,33166.0
"городской округ Шатура, Рошаль, улица Карла Либкнехта, 1",4,5,2,67653,3200000,47.3,5.536184325362192,53333.0
"Солнечногорск городской округ, пос. санатория Министерства Обороны, 94",1,5,2,94845,4600000,48.5,5.536184325362192,76667.0
"Раменский городской округ, д. Островцы, Новые Островцы м-н, Баулинская улица, 10",5,17,2,153225,9500000,62.0,7.42,158334.0
"Реутов, 6а м-н, улица Реутовских ополченцев, 14",21,27,2,210144,14500000,69.0,3.29,241668.0
